node_id,epoch,is_malicious,peer_agreement_rate,ssl_accuracy,avg_rt_error,report_consistency,sudden_change_score,uptime_deviation,blocks_mined,orphan_blocks,fraud_attempts,gas_price_variance,tx_submitted,itt_jitter,ewma_trust_score,bayesian_confidence
0,393,0,0.8352025844655366,0.9933779087117051,0.1262101515519156,0.9231705771697811,0.05987147712146934,0.09730993262564896,0.6206896551724138,2,0,0.003245852968277921,0.3855903935957305,0.7137395665938622,0.7686733025874227,0.8395809465283425
1,234,1,0.2549096212836141,0.3997231266757191,0.969138961447695,0.5125339551990783,0.6048269128909967,0.667946726330148,0.3793103448275862,12,1,0.4672242828051314,0.705136757838559,0.04419078838994627,0.2302614513848976,0.8647082259168627
2,98,1,0.1628790128908584,0.4018241356366897,0.9556909430892685,0.5971782455514967,0.5283219570518148,0.7376642188239746,0.03448275862068965,14,3,0.4651871745752372,0.1014009339559706,0.0222120405798835,0.1520589707140688,0.9723950083462888
3,216,0,0.9228026423202715,0.9658468036178686,0.01262686919401205,0.9141623724990872,0.01899413776606379,0.03322548348865206,0.7586206896551724,0,0,0.00396014247474707,0.2695130086724483,0.4872086461226837,0.9103617905280134,0.9648350317525041
4,332,0,0.9909872950128533,0.9992987473775092,0.04189376319831412,0.9754789407679268,0.04898721749320414,0.09278778896561542,0.1724137931034483,2,0,0.004300020420213213,0.0713809206137425,0.6630311562984872,0.9461294966937144,0.9514200012328529
5,401,0,0.9588475100224677,0.9312563307227567,0.02996714023184961,0.9907003542479379,0.0734664640506129,0.1615727945860254,0.3448275862068966,1,0,0.001503070375308912,0.9172781854569713,0.5879640843869132,0.9439485053749974,0.7898551304892434
6,362,0,0.8260703732529546,0.9012108418225497,0.05473172981546817,0.9615425984415729,0.06674046660877662,0.03493291661813336,0.2758620689655172,0,0,0.004816026843990265,0.9546364242828552,0.2947374918878078,0.7491562496300722,0.9459627475082326
7,187,0,0.9268876698001471,0.9445737660332115,0.1911632114707083,0.9071924676500329,0.04823716408168818,0.03616880205417048,0.3103448275862069,2,0,0.0005410591185682174,0.6050700466977985,0.7454659712038234,0.891316784764901,0.7763422022010755
8,165,0,0.8677345041156586,0.9141306442268676,0.2018144702841539,0.9936300476460631,0.02992047552183512,0.1438171039758089,1.0,0,0,0.00372678621077218,0.676450967311541,0.2295220654239067,0.7845834859127254,0.7865798209462619
9,494,0,0.9747831698038868,0.9027748733105493,0.1941683178919126,0.9117377294300035,0.08382513962065369,0.1583928379291664,0.3448275862068966,2,0,0.0018538829886467,0.2148098732488326,0.6814049425148265,0.9185277610964516,0.7208344433057067
10,299,0,0.9833126256599372,0.9163071505384046,0.1990836767963023,0.9325827168820823,0.0646126696651663,0.1972289484764393,0.8620689655172413,2,0,0.004285116468271576,0.4436290860573716,0.3749269498436369,0.980768424996241,0.8992727661617562
11,476,0,0.9574557885961239,0.9479201594154915,0.2953423167228821,0.9120798034479973,0.09328763679657945,0.1687255171175296,0.8275862068965517,1,0,0.00752647632390569,0.3348899266177451,0.6494302789752333,0.9483834846486894,0.9431562648415978
12,63,0,0.8685273585431932,0.9970297053836247,0.04930974840278244,0.9554776212410183,0.03505516905022312,0.1885804131012483,0.3448275862068966,1,0,0.0016944273516296,0.5130086724482988,0.5185690173690476,0.8026016612422596,0.9813175223237396
13,361,0,0.9425866941678491,0.9867399380333979,0.240929227414498,0.9530553251670216,0.04586074707423016,0.1175105035332367,0.9655172413793104,2,0,0.00351173848899117,0.2995330220146765,0.6658710138170425,0.8806077531847989,0.8283335571522882
14,215,0,0.8630070623557008,0.979175467652585,0.07604213764870073,0.9492661940185887,0.03710220926838322,0.1022221732809702,0.2068965517241379,2,0,0.001703608530843771,0.3282188125416944,0.3199595529626432,0.8629399955145876,0.9194559825563287
15,339,0,0.853219263853942,0.9182747783093285,0.01205329290271264,0.9234046255685453,0.02440834020970144,0.1554105525458867,0.6551724137931034,2,0,0.007804258761455034,0.1794529686457638,0.7673291582367785,0.7708295938768894,0.7288465954120252
16,471,0,0.960204145210901,0.936178511938476,0.07255707623795839,0.9721788815333168,0.04267480941600052,0.1845418148277717,0.7586206896551724,1,0,0.005975056257472989,0.799866577718479,0.211001929375434,0.9417066447025702,0.952052217343196
17,48,0,0.9118132575203054,0.9835665989737201,0.2504234992131469,0.9960327194541485,0.05090863992929751,0.1819827980237708,0.8620689655172413,2,0,0.007537704867217991,0.2955303535690461,0.626265183055406,0.820884203716592,0.9315164492771633
18,442,0,0.8391958586948338,0.9199333717877036,0.2475620650414981,0.9502298698773322,0.03932204849468073,0.02217348347468795,0.4137931034482759,0,0,0.005992337020892229,0.7138092061374249,0.4692248028926701,0.8348490472409527,0.9879069516162778
19,206,1,0.1920632531747077,0.4527139231591167,0.7107790974363679,0.5633381799394632,0.8427000120021053,0.8273528346444143,0.7586206896551724,14,2,0.2060058768700478,0.6164109406270847,0.03234501728398895,0.1767658262070601,0.7618683524200418
20,383,0,0.9986209027090154,0.9879757654924717,0.09741872316320117,0.9965476584950385,0.03995498660696245,0.02048925002560711,0.2758620689655172,0,0,0.006816381301466381,0.2895263509006004,0.3857565618806436,0.9481720690424144,0.9316252021268112
21,493,1,0.2623295087761025,0.5639436843168764,0.9766192160777332,0.6357493311323779,0.7449729597660913,0.7408029550789849,0.7931034482758621,14,5,0.9876296152747381,0.09406270847231488,0.04838722147910705,0.2467378718433145,0.8905759118357396
22,247,0,0.9407857122978851,0.9940744008866752,0.008517327422699195,0.9780665938593841,0.06848238061962587,0.1172307307642122,0.5862068965517241,2,0,0.002017739902815284,0.8992661774516344,0.5587027229598924,0.9206651993778829,0.8983325266530275
23,495,0,0.8411786621050413,0.9687709638392296,0.03322493399882861,0.998214801584439,0.0005376962334459501,0.03133507647340894,0.6551724137931034,0,0,0.007227091881873745,0.8012008005336891,0.2752356503645759,0.8085233129716416,0.8481500177499942
